"threshold","tpr","fpr","model"
0.0995526989909428,0.982532751091703,0.367088607594937,"Model 1: Full main-effects"
0.0995835041253046,0.982532751091703,0.362869198312236,"Model 1: Full main-effects"
0.101623499446368,0.982532751091703,0.358649789029536,"Model 1: Full main-effects"
0.102212367943295,0.982532751091703,0.354430379746835,"Model 1: Full main-effects"
0.102761222996107,0.982532751091703,0.350210970464135,"Model 1: Full main-effects"
0.108924001386618,0.982532751091703,0.345991561181435,"Model 1: Full main-effects"
0.109774348227197,0.982532751091703,0.341772151898734,"Model 1: Full main-effects"
0.113413870530672,0.982532751091703,0.337552742616034,"Model 1: Full main-effects"
0.113639695611925,0.982532751091703,0.333333333333333,"Model 1: Full main-effects"
0.120165201232352,0.982532751091703,0.329113924050633,"Model 1: Full main-effects"
0.120412807271261,0.982532751091703,0.324894514767932,"Model 1: Full main-effects"
0.125070465218868,0.982532751091703,0.320675105485232,"Model 1: Full main-effects"
0.127751867611116,0.978165938864629,0.320675105485232,"Model 1: Full main-effects"
0.134960769911529,0.978165938864629,0.316455696202532,"Model 1: Full main-effects"
0.136948252172459,0.978165938864629,0.312236286919831,"Model 1: Full main-effects"
0.139106731576492,0.978165938864629,0.308016877637131,"Model 1: Full main-effects"
0.141863925874263,0.978165938864629,0.30379746835443,"Model 1: Full main-effects"
0.141875336786001,0.978165938864629,0.29957805907173,"Model 1: Full main-effects"
0.157763312894492,0.978165938864629,0.29535864978903,"Model 1: Full main-effects"
0.159174214350808,0.978165938864629,0.291139240506329,"Model 1: Full main-effects"
0.162929405588086,0.978165938864629,0.286919831223629,"Model 1: Full main-effects"
0.163692850209348,0.978165938864629,0.282700421940928,"Model 1: Full main-effects"
0.165034239299336,0.978165938864629,0.278481012658228,"Model 1: Full main-effects"
0.188771750722719,0.978165938864629,0.274261603375527,"Model 1: Full main-effects"
0.189446953225004,0.978165938864629,0.270042194092827,"Model 1: Full main-effects"
0.190961945942947,0.978165938864629,0.265822784810127,"Model 1: Full main-effects"
0.190992034509429,0.978165938864629,0.261603375527426,"Model 1: Full main-effects"
0.196852568455018,0.978165938864629,0.257383966244726,"Model 1: Full main-effects"
0.200002900439165,0.978165938864629,0.253164556962025,"Model 1: Full main-effects"
